,Unnamed: 0,District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Latitude,Longitude,latitude1,longitude1,Age,gender,Year,Day,Month,Hour,Minute,Second,Level
0,0,LUCKNOW,P01042100004,C1,PS1,PHONE,Information Against Police,Misbehavior By Prv,26.834,81.008,26.2570890373552,81.63988332475546,22,F,2021,4,1,0,0,0,3
1,1,LUCKNOW,P01042104316,C1,PS1,PHONE,Threat In Person,Attack,26.828000000000003,81.014,26.350572282005317,81.25624079301967,49,M,2021,4,1,12,9,0,3
2,2,LUCKNOW,P01042104847,C1,PS1,PHONE,Dispute,Dispute In Hospital,26.84,81.009,26.41418449484565,81.04826406068709,42,F,2021,4,1,12,51,0,3
3,3,LUCKNOW,P01042105074,C1,PS1,PHONE,Gambling,Play Cards,26.828000000000003,81.002,26.74181323755555,81.41144267031831,6,M,2021,4,1,13,10,0,3
4,4,LUCKNOW,P01042105152,C1,PS1,PHONE,Threat In Person,Attack,26.834,81.033,26.350578108500887,81.02020371536129,49,F,2021,4,1,13,18,0,3
5,5,LUCKNOW,P01042105910,C1,PS1,PHONE,Missing,Grp- Person Accident By Train ,26.826,81.01100000000001,26.24536063984823,81.28733694922383,21,M,2021,4,1,14,19,0,3
6,6,LUCKNOW,P01042106298,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,26.835,81.008,26.78244397011681,81.50479046780161,33,F,2021,4,1,14,51,0,3
7,7,LUCKNOW,P01042106686,C1,PS1,PHONE,Theft,Gold Shop,26.839,81.02600000000001,26.92375318178316,81.58230827598247,5,F,2021,4,1,15,25,0,3
8,8,LUCKNOW,P01042109479,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,26.835,81.02600000000001,26.22661050390306,81.37816563026168,28,M,2021,4,1,19,45,0,3
9,9,LUCKNOW,P01042110068,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.841,81.015,26.642926825667853,81.23720567488455,18,F,2021,4,1,20,31,0,3
10,10,LUCKNOW,P01042110781,C1,PS1,PHONE,Dispute,Money Transactions Dispute,26.835,81.008,26.617944916481967,81.57680054237997,12,F,2021,4,1,21,20,0,3
11,11,LUCKNOW,P01042111576,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,26.833,81.02600000000001,26.267273000377774,81.40758778884717,11,M,2021,4,1,22,14,0,2
12,12,LUCKNOW,P01042112778,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.835,81.014,26.75134527039309,81.04670577833998,42,F,2021,4,1,23,51,0,3
13,13,LUCKNOW,P02042104813,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.838,81.009,26.96922140833193,81.12299081622356,48,M,2021,4,2,13,5,0,3
14,14,LUCKNOW,P02042106822,C1,PS1,PHONE,Threat In Person,Threatening To Kill,26.846,81.061,26.47767002800108,81.54697327452206,24,F,2021,4,2,15,56,0,3
15,15,LUCKNOW,P02042107983,C1,PS1,PHONE,Property Disputes,House Capture,26.844,81.031,26.237715575304158,81.2349919955829,19,F,2021,4,2,17,43,0,3
16,16,LUCKNOW,P02042107998,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,26.845,81.042,26.78356717992291,81.23750451253693,17,M,2021,4,2,17,44,0,3
17,17,LUCKNOW,P02042108844,C1,PS1,PHONE,Property Disputes,Boundary Dispute,26.845,81.031,26.70046986961716,81.46025755298166,41,F,2021,4,2,19,1,0,3
